"%s and greater","%s e maior"
"Apply Layered Navigation if search results are less than","Aplicar navegação por camadas se resultados da busca forem menores que"
"Applies for ""Like"" Search type only","Aplicar somente para o tipo de busca ""Like"""
"Subscribe to Feed","Assinar Feed"
"up to %s","até %s"
"Advanced Search","Busca avançada"
"Catalog Advanced Search","Busca avançada no catálogo"
"Catalog Search","Busca no catálogo"
"Search","Buscar"
"Required Fields","Campos obrigatórios"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Configuração de atributo muda relacionado ao índice da busca. Por favor, execute o processo de <a href=""%s"">refazer índice da busca</a>"
"Search Settings","Configurações de busca"
"Maximum Query Words Count","Contagem máxima de palavras da query"
"Grid","Grade"
"Go","Ir"
"Go to Home Page","Ir para página principal"
"List","Lista"
"Autogenerated site map","Mapa do site gerado automaticamente"
"Modify your search","Modifique sua busca"
"No","Não"
"Don't see what you're looking for?","Não achou o que você estava procurando?"
"There are no search terms available.","Não há termos de busca disponíveis."
"No items were found using the following search criteria.","Nenhum item foi encontrado usando os seguintes critérios de busca."
"Please enter ""0"" to enable layered navigation for any number of results","Por favor, insira ""0"" para habilitar navegação por camadas para qualquer número de resultados"
"Home","Principal"
"Search entire store here...","Procurar em toda a loja..."
"Relevance","Relevância"
"Results","Resultados"
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Yes","Sim"
"Search Site","Site de busca"
"Your search returns no results.","Sua busca não retornou resultados."
"Maximum Query Length","Tamanho máximo da query"
"Maximum Search query  length is %s. Your query was cut.","Tamanho máximo de busca da query é %s. Sua query foi cortada."
"Minimal Query Length","Tamanho mínimo da query"
"Search Terms","Termos de busca"
"Popular Search Terms","Termos populares de busca"
"Popular search terms","Termos populares de busca"
"Search Type","Tipo de busca"
"All","Tudo"
"You have to specify at least one search term","Você precisa especificar pelo menos um termo de busca"
