"Open Links in New Window","Abrir links em uma nova janela"
"Add New Row","Adicionar nova linha"
"sample","amostra"
"Sample","Amostra"
"attachment","anexo"
"File","Arquivo"
"File does not exists","Arquivo não existe"
"download","baixar"
"Canceled","Cancelado"
"Shareable","Compartilhável"
"Ordered","Comprado"
"Date","Data"
"From:","De:"
"Disable Guest Checkout if cart contains downloadable items","Desabilitar finalizar compra como visitante se carrinho conter itens disponíveis para baixar"
"Sorry, there was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao obter conteúdo solicitado. Por favor, contate o gerente da loja."
"Sorry, the was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao obter conteúdo solicitado. Por favor, contate o gerente da loja."
"Sorry, there was an error getting requested content","Desculpe, ocorreu um erro ao obter o conteúdo solicitado"
"Availability: In stock.","Disponibilidade: Em estoque."
"Availability: Out of stock.","Disponibilidade: Esgotado."
"Remaining Downloads","Downloads restantes"
"Shipped","Entregue"
"Invalid download URL scheme","Esquema do URL de download inválido"
"Excl. Tax","Excl. imposto"
"Invoiced","Faturado"
"Guest checkout will only work with shareable","Finalizar compra como visitante somente funcionará com compartilhável"
"Unlimited","Ilimitado"
"Incl. Tax","Incl. imposto"
"Downloadable Information","Informações de download"
"Start Download","Iniciar o download"
"inline","inline"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">meus produtos disponíveis para baixar</a>"
"Requested link doesn't exist.","Link solicitado não existe."
"Max. Downloads","Máx. de downloads"
"Gift Message","Mensagem de presente"
"Message:","Mensagem:"
"My Downloadable Products","Meus produtos disponíveis para baixar"
"Can't connect to remote host, error: %s","Não foi possível conectar ao servidor remoto, erro: %s"
"Default Maximum Number of Downloads","Número máximo padrão de downloads"
"Link has expired.","O link expirou."
"Link is not available.","O link não está disponível"
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o(s) arquivo(s)."
"Downloadable Product Options","Opções de produto disponível para baixar"
"Sort Order","Ordem de ordenação"
"Links can be purchased separately","Os links podem ser comprados separadamente"
"To:","Para:"
"Order #","Pedido número"
"Pending","Pendente"
"Please set resource file and link type","Por favor, defina arquivo fonte e tipo do link"
"Please log in to download your product.","Por favor, entre para baixar seu protuto."
"Please specify product link(s).","Por favor, especifique link(s) do produto."
"Price","Preço"
"Downloadable Product","Produto disponível para baixar"
"Refunded","Reembolsado"
"Remove item","Remover item"
"Downloadable product Section","Seção de produto disponível para baixar"
"Invalid download URL host","Servidor do URL de download inválido"
"Status","Status"
"Order Item Status to enable Downloads","Status do item do pedido para permitir os downloads"
"Title","Título"
"Default Sample Title","Título padrão da amostra"
"Default Link Title","Título padrão do link"
"Invalid download link type","Tipo do link de download inválido"
"U","U"
"View Order","Ver pedido"
"You have not purchased any downloadable products yet.","Você ainda não adquiriu nenhum produto para baixar."
"Back","Voltar"
