"Payment Action","Ação de pagamento"
"Change Shipping Address","Alterar"
"Change Payment Method","Alterar método de pagamento"
"Amex","Amex"
"API Signature","Assinatura da API"
"Update Shipping Method","Atualizar método de envio"
"Authorization","Autorização"
"Authorize and Capture","Autorizar e capturar"
"Selected currency code (","Código da moeda selecionada ("
"Card Verification Number","Código de segurança do cartão"
"Customer returned from PayPal site.","Cliente retornou do site do PayPal."
"Business Account","Conta de negócio"
"PayPal Uk Account","Conta do PayPal UK"
"PayPal Accounts","Contas PayPal"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Start Date","Data de início"
"Debug Flag","Debug flag"
"Discover","Descobrir"
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"PayPal Email","E-mail PayPal"
"Edit Shopping Cart","Editar carrinho de compras"
"Shipping Address","Endereço de envio"
"Submitting order information...","Enviando informações do pedido..."
"Error in creating an invoice","Erro ao criar fatura"
"Error in refunding the payment","Erro ao reembolsar pagamento"
"Unknown PayPal API error: %s","Erro desconhecido de API do PayPal: %s"
"Page Style","Estilo da página"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Exemplo: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> onde &lt;user_action&gt; é  'commit' ou 'continue', dependendo da sua preferência de texto no botão cometer."
"Invoice #%s created","Fatura número %s criada"
"PayPal Express Checkout","Finalização de compra expressa do PayPal"
"Paypal Checkout","Finalização de compra via PayPal"
"Enabled","Habilitado"
"Invalid transaction id","ID inválido de transação"
"Incl. Tax","Incl. imposto"
"Billing Information","Informações de cobrança"
"Shipping Information","Informações de envio"
"Paypal IPN Invalid %s.","IPN inválido do PayPal %s."
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"MasterCard","MasterCard"
"Shipping Method","Método de envio"
"No shipping method required.","Método de envio não requerido."
"Payment Method","Método de pagamento"
"N/A","N/A"
"Issue Number","Número de cadastro"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Business Name","Nome de negócio"
"API User Name","Nome de usúario da API"
"Product Name","Nome do produto"
"Name on Card","Nome no cartão de crédito"
"Name on the Card: %s","Nome no cartão de crédito: %s"
"What is this?","O que é isto?"
"There was an error connecting to the Paypal server: %s","Ocorreu um erro ao conectar no servidor do PayPal: %s"
"There has been an error processing your payment. Please try later or contact us for help.","Ocorreu um erro ao processar do seu pagamento. Por favor, tente mais tarde ou contate-nos para ajuda."
"There was an error during communication with Paypal: %s - %s","Ocorreu um erro durante a comunicação com o PayPal: %s - %s"
"Sort order","Ordem de ordenação"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","Pagamento de países permitidos"
"Order","Pedido"
"Please select a valid shipping method","Por favor selecione um método de envio válido"
"Please select a shipping method...","Por favor selecione um método de envio..."
"Proxy Port","Porta do proxy"
"Price","Preço"
"Problem during communication with PayPal","Problema durante comunicação com PayPal"
"Qty","Qtde"
"Place an Order","Realizar pedido"
"Review Order","Rever pedido"
"Sandbox Flag","Sandbox Flag"
"API Password","Senha da API"
"Proxy Host","Servidor do proxy"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Seu endereço de cobrança será ignorado e você será redirecionado para o website do PayPal UK"
"New order status","Status de pedido novo"
"Subtotal","Subtotal"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo Only","Switch/Solo Only"
"Maximum image size is 750x90 px.","Tamanho máximo para imagem é 750x90 px."
"Title","Título"
"Type","Tipo"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Transaction Type","Tipo de transação"
"Credit Card Types","Tipos de cartões de crédito"
"Paypal Logo Image URL","URL do logo para o PayPal"
"Paypal URL","URL do PayPal"
"Use Proxy","Usar proxy"
"Order total amount does not match paypal gross total amount","Valor total do pedido não é igual ao valor total bruto do PayPal"
"Sale","Venda"
"Received IPN verification","Verificação de IPN foi aceito"
"Visa","Visa"
"You will be redirected to Paypal in a few seconds.","Você será redirecionado para o PayPal em alguns segundos."
"Website Payments Standard","Website padrão de pagamentos"
"PayPal Website Payments Standard","Website padrão de pagamentos do PayPal"
"PayPal Website Payments Pro - Direct Payments","Website Pro de pagamentos do PayPal - Pagamentos diretos"
"Website Payments Pro and Express Checkout (API Signature)","Website Pro de pagamentos e finalização de compra expressa (assinatura API)"
