"%d Review(s)","%d opinião(ões)"
"%s Review(s)","%s opinião(ões)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova opinião"
"Add Your Review","Adicionar sua opinião"
"Administrator","Administrador"
"Review by %s","Analisado por %s"
"Nickname","Apelido"
"Update status","Atualizar status"
"Detailed Rating","Classificação detalhada"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Rating:","Classificação:"
"Customer","Cliente"
"How do you rate this product?","Como você classifica este produto?"
"Created On","Criado em"
"Review Details","Detalhes da opinião"
"Edit Review '%s'","Editar opinião '%s'"
"Submit Review","Enviar opinião"
"Write Your Own Review","Escrever sua opinião"
"Delete","Excluir"
"Delete Review","Excluir opinião"
"Manage Ratings","Gerenciar votos"
"ID","ID"
"SKU","ID do produto"
"Product SKU","ID do produto"
"Unable to post review. Please, try again later.","Impossível enviar opinião. Por favor, tente novamente mais tarde."
"Average Customer Rating","Média de avaliação de clientes"
"Average Customer Rating:","Média de avaliação de clientes:"
"My Product Reviews","Minhas opiniões de produtos"
"My Recent Reviews","Minhas opiniões recentes"
"Name","Nome"
"Product Name","Nome do produto"
"Name In Store","Nome na loja"
"New Review","Nova opinião"
"Review","Opinião"
"Product Review (submitted on %s):","Opinião do produto (enviado em %s):"
"Pending reviews of customer `%s`","Opiniões de clientes pendentes '%s'"
"Customer Reviews","Opiniões do cliente"
"Product Reviews","Opiniões dos produtos"
"Reviews and Ratings","Opiniões e avaliações"
"Pending reviews","Opiniões pendentes"
"Pending Reviews","Opiniões pendentes"
"Allow guests to write reviews","Permitir que visitantes escrevam opiniões"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione uma das avaliações acima"
"Price","Preço"
"Product","Produto"
"Posted By","Publicado por"
"Qty","Qtde"
"Save Review","Salvar opinião"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Status","Status"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Sua opinião (enviada em %s):"
"Your review has been accepted for moderation","Sua opinião foi aceita para avaliação"
"Summary of Review","Sumário da opinião"
"Summary of review","Sumário da opinião"
"Summary of Your Review","Sumário das suas opiniões"
"Summary Rating","Sumário de classificação"
"Title","Título"
"Type","Tipo"
"All reviews of customer `%s`","Todas as opiniões do cliente '%s'"
"All Reviews","Todas opiniões"
"View All Reviews","Ver todas opiniões"
"Visible In","Visível em"
"Guest","Visitante"
"View Details","Visualizar detalhes"
"You're reviewing: %s","Você está revendo: %s"
"You have submitted no reviews.","Você não enviou opiniões."
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Main Product Info","Voltar para informações principais do produto"
"Back to My Reviews","Voltar para minhas opiniões"
"Back to Product Reviews","Voltar para opiniões de produto"
"Websites","Websites"
