"--Select--","--Selecione--"
"Add New Option","Adicionar nova opção"
"Add Selection","Adicionar seleção"
"Fixed","Arrumado"
"Is Required","É obrigatório"
"Radio Buttons","Botões radio"
"Checkbox","Caixa de seleção"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto cada"
"From","De"
"From:","De:"
"Dynamic","Dinâmico"
"Drop-down","Drop-down"
"Bundle Items","Empacotar itens"
"Ship Bundle Items","Enviar pacote de itens"
"Choose a selection...","Escolha uma seleção..."
"This product is also part of bundle(s)","Este produto também faz parte de pacote(s)"
"Excl. Tax","Excl. imposto"
"Price Range","Faixa de preço"
"Close","Fechar"
"Incl. Tax","Incl. imposto"
"Together","Junto"
"Gift Message","Mensagem de presente"
"Message:","Mensagem:"
"N/A","N/A"
"None","Nada"
"There is no defined renderer for ""%s"" option type","Não existe renderizador definido para o tipo de opção ""%s"""
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"Required options not selected.","Opções obrigatórias não selecionadas."
"Selected required options not available.","Opções obrigatórias selecionadas não estão disponíveis."
"Bundle Product","Pacote de produtos"
"Default","Padrão"
"To","Para"
"To:","Para:"
"Percent Discount","Percentual de desconto"
"Please specify product option(s)","Por favor, especifique as opções do produto"
"Please enter search conditions to view products.","Por favor, insira as condições de busca para visualizar os produtos."
"Please select options for product.","Por favor, selecione as opções para o produto."
"Please select products to add","Por favor, selecione produtos para adicionar"
"Percent","Porcentagem"
"Position","Posição"
"Shipment","Postagem"
"Price as configured","Preço conforme configurado"
"Qty:","Qtde:"
"User Defined Qty","Quantidade definida pelo usuário"
"Default Qty","Quantidade padrão"
"Multiple Select","Seleção múltipla"
"Separately","Separadamente"
"As low as","Tão baixo quanto"
"Store View Title","Título da visão da loja"
"Default Title","Título padrão"
"Input Type","Tipo de entrada"
"Price Type","Tipo de preço"
