"From Date","A partir da data"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"Actions","Ações"
"Add New Rule","Acrescentar nova regra"
"Apply Rules","Aplicar regras"
"Active","Ativo"
"Product Attribute","Atributo do produto"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Catalog","Catálogo"
"Category","Categoria"
"Customer is new buyer: %s","Cliente é novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Condições de combinação"
"Date From","Data de"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Date To","Data para"
"Description: %s","Descrição: %s"
"Description","Descricão"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Shipments","Envios"
"Order Shipments","Envios de pedidos"
"This rule no longer exists","Esta regra não existe mais"
"Delete Rule","Excluir regra"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Existem regras que foram alteradas mas não aplicadas. Por favor, clique em aplicar regras para ver efeito imediato no catálogo."
"Expire at: %s","Expira em: %s"
"Invoices","Faturas"
"Order Invoices","Faturas dos pedidos"
"Attribute Set","Grupo de atributos"
"Customer Groups","Grupos de clientes"
"Comments History","Histórico de comentários"
"Order History","Histórico de pedidos"
"ID","ID"
"Inactive","Inativo"
"Start at: %s","Início em: %s"
"Rule Information","Informações da regra"
"General Information","Informações gerais"
"Order Credit Memos","Memorando de crédito do pedido"
"Credit Memos","Memorandos de crédito"
"Gift Messages","Mensagens do presente"
"Order Gift Messages","Mensagens dos presentes do pedido"
"No","Não"
"Unable to apply rules","Não foi possível aplicar regras"
"Unable to find a page to delete","Não foi possível encontrar uma página para excluir"
"NOT LOGGED IN","NÃO CONECTADO"
"Rule Name","Nome da regra"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"Options","Opções"
"To Date","Para data"
"Stop further rules processing","Parar processamento de demais regras"
"Priority","Prioridade"
"Promotions","Promoções"
"Catalog Price Rule","Regra de preço do catálogo"
"Rule was successfully deleted","Regra foi excluída com sucesso"
"Rule was successfully saved","Regra foi gravada com sucesso"
"Catalog Price Rules","Regras de preço do catálogo"
"Rules were successfully applied","Regras foram aplicadas com sucesso"
"Save and Apply","Salvar e aplicar"
"Save Rule","Salvar regra"
"Yes","Sim"
"Status","Status"
"Websites","Websites"
