"Actions","Ações"
"Open","Abrir"
"Add New Poll","Adicionar nova pesquisa"
"Add New Answer","Adicionar nova resposta"
"Add Answer","Adicionar resposta"
"Votes Count","Contagem de votos"
"Votes Count:","Contagem de votos:"
"Date Closed","Data de fechamento"
"Date Posted","Data de publicação"
"Edit Poll '%s'","Editar pesquisa '%s'"
"Edit Answer '%s'","Editar resposta '%s'"
"Edit Poll Answer","Editar resposta da pesquisa"
"Delete","Excluir"
"Delete Poll","Excluir pesquisa"
"Delete Answer","Excluir resposta"
"Closed","Fechado"
"Poll Manager","Gerenciador de pesquisa"
"ID","ID"
"Unable to find answer to delete.","Impossível encontrar resposta para excluir."
"Poll information","Informações de pesquisa"
"Poll Information","Informações de pesquisa"
"Disallow voting in a poll multiple times from same IP-address","Não permitir votar em uma pesquisa várias vezes de um mesmo endereço IP"
"Number of Responses","Número de respostas"
"New Poll","Nova pesquisa"
"Poll with the same question","Pesquisa com a mesma questão"
"Community Poll","Pesquisa da comunidade"
"Poll not exists","Pesquisa não existe"
"Poll Question","Questão de pesquisa"
"Answer with the same title in this poll","Resposta com o mesmo título nesta pesquisa"
"Answer was successfully saved","Resposta foi salva com sucesso"
"Invalid Answer","Resposta inválida"
"Assigned Answers","Respostas associadas"
"Poll Answers","Respostas da pesquisa"
"Save Poll","Salvar pesquisa"
"Save Answer","Salvar resposta"
"Status","Status"
"Answer Title","Título da resposta"
"Answer Title:","Título da resposta:"
"Visible In","Visível em"
"Are you sure you want to delete it?","Você tem certeza que deseja excluir-lo?"
"Vote","Votar"
