"Product stock alert","Alerta de estoque de produto"
"Product price alert","Alerta de preço do produto"
"Product Alerts","Alerta de produto"
"Alert subscription was deleted successfully","Assinatura em alerta foi excluído com sucesso"
"Alert subscription was saved successfully","Assinatura em alerta foi salvo com Sucesso"
"Unsubscribe from all stock alerts","Cancelar inscrição de todos alertas de estoque"
"Unsubscribe from all price alerts","Cancelar inscrição de todos alertas de preço"
"Click here not to receive alerts for this product","Clique aqui para não receber alertas deste produto"
"Product Alerts Run Settings","Configurações de execução de alertas de produto"
"Error Email Recipient","Destinatário de e-mail de erro"
"Product alerts Cron error","Erro de cron nos alertas de produtos"
"Frequency","Freqüência"
"Start Time","Horário de início"
"Sign up to get notified when this product is back in stock","Inscreva-se para ser notificado quando este produto voltar ao estoque"
"Sign up for price alert","Inscrever-se para alerta de preço"
"Stock alert Email Template","Modelo de e-mail de alerta de estoque"
"Price alert Email Template","Modelo de e-mail de alerta de preço"
"Error Email Template","Modelo de e-mail de erro"
"Not enough parameters","Parâmetros insuficientes"
"Allow alert when product price changes","Permitir alerta quando produto mudar de preço"
"Allow alert when product comes back in stock","Permitir alerta quando produto voltar ao estoque"
"Please try again later","Por favor, tente novamente mais tarde"
"Special price:","Preço especial:"
"Price:","Preço:"
"Product not found","Produto não encontrado"
"Alert Email Sender","Remetente de e-mail de alerta"
"Error Email Sender","Remetente de e-mail de erro"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os preços para os seguintes produtos forem alterados:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os seguintes produtos voltarem ao estoque:"
"You will no longer receive stock alerts","Você não receberá mais alertas de estoque"
"You will no longer receive stock alerts for this product","Você não receberá mais alertas de estoque para este produto"
"You will no longer receive price alerts for this product","Você não receberá mais alertas de preço para este produto"
