"%s has reached a quantity of %s.","%s atingiu uma quantidade de %s."
"%s - Discounts and Coupons","%s – descontos e cupons"
"%s - Special Discounts","%s – descontos especiais"
"%s RSS Feed","%s RSS Feed"
"%s's Wishlist","%s's lista de desejos"
"Enable RSS","Ativar RSS"
"Catalog","Catálogo"
"Top Level Category","Categoria alto nível"
"Category Feeds","Categoria Feeds"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para ver opinião"
"Comment: %s<br/>","Comentário: %s<br/>"
"Purchased From: %s","Comprado de: %s"
"Rss Config","Config RSS"
"Coupons/Discounts","Cupons/Descontos"
"Notified Date: %s<br/>","Data da notificação: %s<br/>"
"From:","De:"
"Discount ","Desconto"
"Details for %s #%s","Detalhes de %s número %s"
"Shipping & Handling","Envio e manuseio"
"Error in processing xml. %s","Erro ao processar XML. %s"
"Miscellaneous Feeds","Feeds variados"
"Tax","Imposto"
"Wishlist","Lista de desejos"
"Store: %s <br/>","Loja: %s <br/>"
"Gift Message","Mensagem de presente"
"Message:","Mensagem:"
"There are no Rss Feeds","Não existem RSS Feeds"
"There are no Rss Feeds.","Não existem RSS Feeds."
"Cannot retrieve the wishlist","Não foi possível obter lista de desejos"
"Customer Name: %s","Nome do cliente: %s"
"Customer Order Status Notification","Notificação de status de pedido de cliente"
"Order # %s Notification(s)","Notificação(ões) do pedido número %s"
"New Orders","Novos pedidos"
"New Products","Novos produtos"
"New Products from %s","Novos produtos de %s"
"Pending product review(s)","Opinião(ões) pendente(s) do produto"
"Review: %s <br/>","Opinião: %s <br/>"
"To:","Para:"
"Order #%s created at %s","Pedido número %s criado em %s"
"Get Feed","Pegar Feed"
"Product: ""%s"" review By: %s","Produto: ""%s"" avaliado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Produtos com estoque baixo"
"Special Products","Produtos especiais"
"Special/Discount Products","Produtos especiais/com desconto"
"Products tagged with %s","Produtos tagged com %s"
"RSS","RSS"
"RSS Feeds","RSS Feed"
"Rss Feeds Section","Seção RSS Feeds"
"Current Status: %s<br/>","Status atual: %s<br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Sumário da opinião: %s <br/>"
"Tags Products","Tags dos Produtos"
"RSS testing","Teste de RSS"
"Grand Total","Total"
"Total Products: %s","Total de produtos: %s"
"Total: %s<br/>","Total: %s<br/>"
